STATION,DATE,PRCP,SNWD,TAVG,TMAX,TMIN
Espoo,2013-11-26,1.5,0,-2,2.7,-6.4
Espoo,2013-11-27,-1,0,4.7,5.8,2.7
Espoo,2013-11-28,-1,0,4,7,1.6
Espoo,2013-11-29,-1,0,-1.9,2.7,-5.2
Espoo,2013-11-30,1,0,-3.2,2.4,-9.2
Espoo,2013-12-1,1.6,0,1.8,3.7,-2.5
Espoo,2013-12-2,0.1,0,-1.3,2.4,-3.9
Espoo,2013-12-3,-1,0,3.8,4.9,2.4
Espoo,2013-12-4,-1,0,-1.3,4.8,-4.5
Espoo,2013-12-5,2.8,0,0.4,2.7,-6.1
Espoo,2013-12-6,3.9,0,1.6,4,0.7
Espoo,2013-12-7,0.1,0,-0.8,0.9,-2
Espoo,2013-12-8,-1,0,-3.8,-2,-4.6
Espoo,2013-12-9,-1,0,-6.8,-4,-8.6
Espoo,2013-12-10,2.7,0,-3.4,2.6,-11.2
Espoo,2013-12-11,-1,0,2.6,4.1,1.6
Espoo,2013-12-12,0.2,0,4.4,5.9,2.6
Espoo,2013-12-13,-1,0,2.4,8.1,-1
Espoo,2013-12-14,-1,0,-3.8,-0.8,-6
Espoo,2013-12-15,4.8,0,1.3,3,-3.8
Espoo,2013-12-16,1.7,0,4.6,5.3,2.8
Espoo,2013-12-17,-1,0,4.7,7.4,2.9
Espoo,2013-12-18,-1,0,1.7,3.2,0
Espoo,2013-12-19,3.6,0,2.4,3.1,1.6
Espoo,2013-12-20,1.6,0,3.5,5.3,1.6
Espoo,2013-12-21,3.1,0,4.4,5,3.3
Espoo,2013-12-22,5.5,0,5.9,6.8,4.7
Espoo,2013-12-23,5,0,4.5,6.1,2.8
Espoo,2013-12-24,10,0,4,4.6,2.5
Espoo,2013-12-25,10.3,0,4.8,5.6,4.2
Espoo,2013-12-26,2.4,0,4.2,5,4
Espoo,2013-12-27,3.1,0,4.2,5.1,3.1
Espoo,2013-12-28,5.9,0,5.3,5.8,4.8
Espoo,2013-12-29,0.8,0,5.3,6.1,4.5
Espoo,2013-12-30,-1,0,3.8,5.1,1.8
Espoo,2013-12-31,1.1,0,3.6,4.8,0.9
Espoo,2014-1-1,0.3,-1,3.4,5.5,2
Espoo,2014-1-2,0.1,-1,0.9,2.1,0.4
Espoo,2014-1-3,-1,-1,1.6,1.8,0.8
Espoo,2014-1-4,3.8,-1,2.3,2.2,1.6
Espoo,2014-1-5,-1,0,4.3,5.2,2.1
Espoo,2014-1-6,0.8,0,2.4,4.1,1.3
Espoo,2014-1-7,10,-1,3.3,3.7,2.6
Espoo,2014-1-8,2.5,-1,5.4,5.8,2.8
Espoo,2014-1-9,10.8,-1,4.7,5.4,3.6
Espoo,2014-1-10,2.6,-1,1.8,4.1,0.4
Espoo,2014-1-11,2,-1,-3.2,0.4,-3.9
Espoo,2014-1-12,-1,0,-7.5,-3.9,-8.8
Espoo,2014-1-13,-1,0,-10.8,-8.1,-12.7
Espoo,2014-1-14,-1,0,-14.5,-12.5,-16.3
Espoo,2014-1-15,0.4,0,-11.7,-9,-15.6
Espoo,2014-1-16,-1,0,-11.9,-8.6,-13.1
Espoo,2014-1-17,-1,0,-13.4,-12,-14.7
Espoo,2014-1-18,-1,0,-13.4,-11.4,-15
Espoo,2014-1-19,-1,0,-13.8,-10.2,-17.6
Espoo,2014-1-20,0.3,0,-12.3,-9.6,-15.8
Espoo,2014-1-21,-1,0,-11.5,-8.9,-14.1
Espoo,2014-1-22,-1,0,-14.5,-13.2,-15.9
Espoo,2014-1-23,-1,0,-15.6,-12.4,-17.5
Espoo,2014-1-24,-1,0,-17,-13.9,-19.2
Espoo,2014-1-25,-1,0,-8.1,-4.6,-19.7
Espoo,2014-1-26,-1,0,-7.2,-5,-8.6
Espoo,2014-1-27,-1,0,-7.2,-4.7,-8.8
Espoo,2014-1-28,-1,0,-6.9,-5.4,-8
Espoo,2014-1-29,-1,0,-7.9,-5.8,-8.7
Espoo,2014-1-30,-1,0,-9.9,-7.8,-11
Espoo,2014-1-31,11.3,0,-8.9,-6.6,-10.8
Espoo,2014-2-1,1.1,0,-5.8,-4.6,-7.9
Espoo,2014-2-2,1.1,0,-2.8,-2.4,-5
Espoo,2014-2-3,0.5,0,-0.5,1,-3.3
Espoo,2014-2-4,-1,0,-0.2,0.9,-0.5
Espoo,2014-2-5,-1,0,-3.4,-0.1,-5.7
Espoo,2014-2-6,0.1,0,-6.6,-2.1,-9.1
Espoo,2014-2-7,3.3,0,-1.4,0.8,-9.3
Espoo,2014-2-8,3.3,0,1.5,2.3,0.5
Espoo,2014-2-9,0.6,0,1.9,2.8,0.6
Espoo,2014-2-10,5.8,0,1.2,2.2,0.9
Espoo,2014-2-11,2.2,0,0.2,1.2,0
Espoo,2014-2-12,2.5,0,0.8,1.4,0
Espoo,2014-2-13,-1,0,1.1,1.6,0.5
Espoo,2014-2-14,-1,0,0.6,1.2,0.4
Espoo,2014-2-15,1.2,0,0.3,0.9,0
Espoo,2014-2-16,1.7,0,1.2,2.6,-0.1
Espoo,2014-2-17,1,0,1.7,2.5,1
Espoo,2014-2-18,0.4,0,1.2,2.2,0.9
Espoo,2014-2-19,-1,0,0.4,1.5,-1
Espoo,2014-2-20,0.6,0,-1.6,0.6,-2.6
Espoo,2014-2-21,1.4,0,-1.7,-0.1,-4
Espoo,2014-2-22,1.5,0,1.9,2.7,-0.3
Espoo,2014-2-23,0.1,0,2.9,3.7,1.8
Espoo,2014-2-24,-1,4,3.8,5.3,2
Espoo,2014-2-25,-1,-1,1.5,3.8,-0.5
Espoo,2014-2-26,-1,-1,-0.3,0.8,-2.7
Espoo,2014-2-27,0.1,-1,0.7,1.1,0.3
Espoo,2014-2-28,-1,-1,0.8,1.5,0.2
Espoo,2014-3-1,-1,-1,0.1,2.1,-2.2
Espoo,2014-3-2,4.1,-1,0.6,0.8,0.4
Espoo,2014-3-3,1.9,-1,0.8,1.2,0.3
Espoo,2014-3-4,-1,-1,1.2,2.2,0.4
Espoo,2014-3-5,-1,-1,1.6,3.5,0.8
Espoo,2014-3-6,-1,-1,-0.2,1.8,-3.3
Espoo,2014-3-7,3.9,-1,1.9,4,0.3
Espoo,2014-3-8,0.5,-1,4.2,7.8,0.7
Espoo,2014-3-9,-1,0,3.4,6.3,-0.1
Espoo,2014-3-10,1.7,-1,4.6,9.3,2.2
Espoo,2014-3-11,-1,-1,4.6,7.7,2.3
Espoo,2014-3-12,-1,-1,5.4,10.8,-0.2
